Date,Workload sum, Scheduled Hours (Sum) , Planned Absences(Sum) , Unplanned Absences (Sum) , Unpaid Absences (Sum) ,Max Temp (�C),Max Temp Flag,Min Temp (�C),Min Temp Flag,Mean Temp (�C),Mean Temp Flag,Heat Deg Days (�C),Heat Deg Days Flag,Cool Deg Days (�C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1/2/2019,40804,8885.9,1195.23,647.96,296.59,5.5,0,2.4,0,4,0,14,0,0,0,3.4,0,0,0,3.4,0,0,0,6,0,41,0
1/3/2019,42189,9656.08,1218.42,562.2,283.91,9.5,0,4.5,0,7,0,11,0,0,0,54.8,0,0,0,54.8,0,0,0,14,0,54,0
1/4/2019,44384,8795.96,1269.42,578.67,277.13,10.4,0,6.1,0,8.3,0,9.7,0,0,0,9.6,0,0,0,9.6,0,0,0,15,0,45,0
1/5/2019,11,4354.98,575,305.32,132.69,8.7,0,5.3,0,7,0,11,0,0,0,3.2,0,0,0,3.2,0,0,0,10,0,33,0
1/6/2019,346,6250.94,676.13,472.46,253.29,7.9,0,3.3,0,5.6,0,12.4,0,0,0,6.8,0,0,0,6.8,0,0,0,24,0,59,0
1/7/2019,74434,9672.86,882.37,572.65,309.19,5.8,0,0.5,0,3.2,0,14.8,0,0,0,0,0,0,0,0,0,0,0,28,0,54,0
1/8/2019,67020,10299.9,872.42,603.2,311.67,5.5,0,-1,0,2.3,0,15.7,0,0,0,2.4,0,0,0,2.4,0,0,0,0,0,0,0
1/9/2019,55422,9219.45,792.71,524.17,268.09,10.5,0,3.8,0,7.2,0,10.8,0,0,0,6.8,0,0,0,6.8,0,0,0,15,0,54,0
1/10/2019,46347,9284.95,819.13,529.26,277.1,11.1,0,8.2,0,9.7,0,8.3,0,0,0,3.6,0,0,0,3.6,0,0,0,15,0,45,0
1/11/2019,43562,7285.6,780.15,486.71,164.43,10.2,0,3.5,0,6.9,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/2019,4,4117.96,541.42,376.44,197.7,11.3,0,-0.2,0,5.6,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/13/2019,1286,6316.97,693.5,541.26,233.57,8.7,0,0.8,0,4.8,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/14/2019,70703,9388.93,880.5,610.76,224.01,4.9,0,-1.9,0,1.5,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/15/2019,45940,10685.71,916.57,682.55,216.29,5.3,0,-2,0,1.7,0,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/16/2019,48503,10384.44,900.5,697.05,273.13,7.2,0,-1.8,0,2.7,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/17/2019,45430,10329.65,927.5,659.06,304.72,10.4,0,0.1,0,5.3,0,12.7,0,0,0,12.2,0,0,0,12.2,0,0,0,9,0,41,0
1/18/2019,40937,8095.95,796.25,456.85,354.09,9.8,0,6.8,0,8.3,0,9.7,0,0,0,7.4,0,0,0,7.4,0,0,0,13,0,50,0
1/19/2019,3,3440.97,384.75,191.15,84.54,9.6,0,4.2,0,6.9,0,11.1,0,0,0,2,0,0,0,2,0,0,0,21,0,63,0
1/20/2019,0,6371.9,639.57,548.7,319.27,7.3,0,1.9,0,4.6,0,13.4,0,0,0,0,0,0,0,0,0,0,0,30,0,46,0
1/21/2019,71255,9488.19,830.06,673.24,305.13,7,0,-1.6,0,2.7,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/22/2019,53025,10651.09,975.07,697.27,304.51,5.7,0,3.5,0,4.6,0,13.4,0,0,0,20,0,0,0,20,0,0,0,6,0,42,0
1/23/2019,45100,10294.14,1044.18,629.67,335.94,6.8,0,4.5,0,5.7,0,12.3,0,0,0,6.4,0,0,0,6.4,0,0,0,30,0,42,0
1/24/2019,38965,10281.78,1031.91,627.39,334.07,7.3,0,4.8,0,6.1,0,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/25/2019,36555,8030.67,942.76,462.41,295.96,7.7,0,3.8,0,5.8,0,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26/2019,150,3445.87,523,151.56,110,7.9,0,4.1,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/27/2019,5,6385.93,767.6,491.01,274.34,7.5,0,0.8,0,4.2,0,13.8,0,0,0,0.6,0,0,0,0.6,0,0,0,0,0,0,0
1/28/2019,64573,9482.02,1047.5,611.85,277.1,7.2,0,-1.6,0,2.8,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/29/2019,44064,10634.38,1171.61,586.1,338.63,7.5,0,-3,0,2.3,0,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/30/2019,42446,10256.03,1064.6,636.48,299.09,6.2,0,-0.7,0,2.8,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/2019,36253,10276.39,1104.73,669.08,363.72,8.5,0,3.5,0,6,0,12,0,0,0,1.6,0,0,0,1.6,0,0,0,0,0,0,0
2/1/2019,32918,8004.48,1006.35,431.34,342.07,8.5,0,5.5,0,7,0,11,0,0,0,20.8,0,0,0,20.8,0,0,0,8,0,35,0
2/2/2019,32,3470,480.84,234.97,144.99,7.4,0,2.4,0,4.9,0,13.1,0,0,0,0,0,0,0,0,0,0,0,29,0,45,0
2/3/2019,11,6339.95,1002.39,631.34,346.2,4.2,0,-4,0,0.1,0,17.9,0,0,0,0.2,0,0.2,0,0.4,0,0,0,11,0,50,0
2/4/2019,49146,9426.43,1511.74,720.6,357.57,0.7,0,-6.2,0,-2.8,0,20.8,0,0,0,0,0,1.4,0,0.6,0,1,0,32,0,33,0
2/5/2019,38313,10600.39,1663.95,671.32,325.95,0.5,0,-8.2,0,-3.9,0,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6/2019,42420,10283.78,1457.89,594.11,280.21,1.6,0,-7.3,0,-2.9,0,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
