Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-123.18,49.19,VANCOUVER INTL A,1108395,1/1/2024,2024,1,1,,6.3,,0.9,,3.6,,14.4,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/2/2024,2024,1,2,,7.8,,3.8,,5.8,,12.2,,0,,9.8,,0,,9.8,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/3/2024,2024,1,3,,10.2,,5.2,,7.7,,10.3,,0,,0.7,,0,,0.7,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/4/2024,2024,1,4,,10.2,,3.7,,7,,11,,0,,10.3,,0,,10.3,,,,13,,36,
-123.18,49.19,VANCOUVER INTL A,1108395,1/5/2024,2024,1,5,,7.5,,3.6,,5.6,,12.4,,0,,5,,0,,5,,,,16,,58,
-123.18,49.19,VANCOUVER INTL A,1108395,1/6/2024,2024,1,6,,6.9,,0.2,,3.6,,14.4,,0,,6.3,,0,,6.3,,,,29,,63,
-123.18,49.19,VANCOUVER INTL A,1108395,1/7/2024,2024,1,7,,4.6,,-1.3,,1.7,,16.3,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/8/2024,2024,1,8,,3.4,,0.9,,2.2,,15.8,,0,,32.6,,0,T,32.6,,,,9,,47,
-123.18,49.19,VANCOUVER INTL A,1108395,1/9/2024,2024,1,9,,,M,,M,,M,,M,,M,6,,0,,6,,,,17,,53,
-123.18,49.19,VANCOUVER INTL A,1108395,1/10/2024,2024,1,10,,6.2,,2.1,,4.2,,13.8,,0,,0,,0,,0,,,,27,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,1/11/2024,2024,1,11,,4.5,,-6.4,,-1,,19,,0,,0,,3,,2,,2,E,30,,79,
-123.18,49.19,VANCOUVER INTL A,1108395,1/12/2024,2024,1,12,,-6.4,,-13.4,,-9.9,,27.9,,0,,0,,0,,0,,1,,10,,44,
-123.18,49.19,VANCOUVER INTL A,1108395,1/13/2024,2024,1,13,,-3.2,,-13.7,,-8.5,,26.5,,0,,0,,0,,0,,,,34,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,1/14/2024,2024,1,14,,-1.8,,-9.3,,-5.6,,23.6,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/15/2024,2024,1,15,,0.7,,-8.7,,-4,,22,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/16/2024,2024,1,16,,1.4,,-6.2,,-2.4,,20.4,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/17/2024,2024,1,17,,,M,,M,,M,,M,,M,0,,27.8,,24.6,,7,,12,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,1/18/2024,2024,1,18,,0.2,,-3.8,,-1.8,,19.8,,0,,0,,6,,6,,23,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/19/2024,2024,1,19,,2,,-0.2,,0.9,,17.1,,0,,14.7,,0,,14.7,,21,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/20/2024,2024,1,20,,4.4,,0.8,,2.6,,15.4,,0,,0,,0,,0,,7,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/21/2024,2024,1,21,,7.5,,1.6,,4.6,,13.4,,0,,12.4,,0,,12.4,,6,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/22/2024,2024,1,22,,7.6,,4.9,,6.3,,11.7,,0,,14.4,,0,,14.4,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/23/2024,2024,1,23,,9.7,,6.7,,8.2,,9.8,,0,,13.5,,0,,13.5,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/24/2024,2024,1,24,,8.2,,5.9,,7.1,,10.9,,0,,13.3,,0,,13.3,,,,7,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,1/25/2024,2024,1,25,,8.2,,7,,7.6,,10.4,,0,,4.9,,0,,4.9,,,,9,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,1/26/2024,2024,1,26,,12.4,,7.3,,9.9,,8.1,,0,,11.9,,0,,11.9,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/27/2024,2024,1,27,,11.8,,7.8,,9.8,,8.2,,0,,39.7,,0,,39.7,,,,10,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,1/28/2024,2024,1,28,,13.3,,8.9,,11.1,,6.9,,0,,16.1,,0,,16.1,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/29/2024,2024,1,29,,14.3,,8.2,,11.3,,6.7,,0,,4.6,,0,,4.6,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,1/30/2024,2024,1,30,,13.8,,9.2,,11.5,,6.5,,0,,1.8,,0,,1.8,,,,10,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,1/31/2024,2024,1,31,,13.6,,8.8,,11.2,,6.8,,0,,8.9,,0,,8.9,,,,7,,48,
-123.18,49.19,VANCOUVER INTL A,1108395,2/1/2024,2024,2,1,,13.6,,8.5,,11.1,,6.9,,0,,1.5,,0,,1.5,,,,9,,36,
