Date,Workload sum,Scheduled Hours,Planned Absences,Unplanned Absences,Unpaid Absences,Actual Work Hours,EWH by Load,Daily remain,Rough esteam of merged workload,Max Temp(C),Max Temp Flag,Min Temp(C),Min Temp Flag,Mean Temp(C),Mean Temp Flag,Heat Deg Days(C),Heat Deg Days Flag,Cool Deg Days(C),Cool Deg Days Flag,Total Rain(mm),Total Rain Flag,Total Snow(cm),Total Snow Flag,Total Precip(mm),Total Precip Flag,Snow on Grnd(cm),Snow on Grnd Flag,Dir of Max Gust(10s deg),Dir of Max Gust Flag,Spd of Max Gust(km/h),Spd of Max Gust Flag,Workload sum_ST,Scheduled Hours_ST,Planned Absences_ST,Unplanned Absences_ST,Unpaid Absences_ST,Actual Work Hours_ST,EWH by Load_ST,Daily remain_ST,Rough esteam of merged workload_ST,Max Temp(C)_ST,Max Temp Flag_ST,Min Temp(C)_ST,Min Temp Flag_ST,Mean Temp(C)_ST,Mean Temp Flag_ST,Heat Deg Days(C)_ST,Heat Deg Days Flag_ST,Cool Deg Days(C)_ST,Cool Deg Days Flag_ST,Total Rain(mm)_ST,Total Rain Flag_ST,Total Snow(cm)_ST,Total Snow Flag_ST,Total Precip(mm)_ST,Total Precip Flag_ST,Snow on Grnd(cm)_ST,Snow on Grnd Flag_ST,Dir of Max Gust(10s deg)_ST,Dir of Max Gust Flag_ST,Spd of Max Gust(km/h)_ST,Spd of Max Gust Flag_ST,Workload sum_NT,Scheduled Hours_NT,Planned Absences_NT,Unplanned Absences_NT,Unpaid Absences_NT,Actual Work Hours_NT,EWH by Load_NT,Daily remain_NT,Rough esteam of merged workload_NT,Max Temp(C)_NT,Max Temp Flag_NT,Min Temp(C)_NT,Min Temp Flag_NT,Mean Temp(C)_NT,Mean Temp Flag_NT,Heat Deg Days(C)_NT,Heat Deg Days Flag_NT,Cool Deg Days(C)_NT,Cool Deg Days Flag_NT,Total Rain(mm)_NT,Total Rain Flag_NT,Total Snow(cm)_NT,Total Snow Flag_NT,Total Precip(mm)_NT,Total Precip Flag_NT,Snow on Grnd(cm)_NT,Snow on Grnd Flag_NT,Dir of Max Gust(10s deg)_NT,Dir of Max Gust Flag_NT,Spd of Max Gust(km/h)_NT,Spd of Max Gust Flag_NT,holiday,NATIONAL_HOLIDAY_IND,PROVINCIAL_HOLIDAY_IND,IMPACT_DAY_FLG,DAY_OF_WEEK,WEEK_OF_YEAR,DAY_OF_MONTH,MONTH_NO,YEAR_NO,PreviousDayHoliday,NextDayHoliday,Holiday_with_weekend
1/2/2019,40804,8885.9,1195.23,647.96,296.59,7042.71,11788.06899,16425.89879,40804,5.5,0,2.4,0,4,0,14,0,0,0,3.4,0,0,0,3.4,0,0,0,6,0,41,0,0.410124088,0.639741562,0.530586238,0.228351753,0.540718119,0.628688915,0.410124088,0.251367783,0.655211619,-1.172699575,-0.119416287,-0.696599328,-0.119416287,-0.971892674,-0.119416287,1.037715473,-0.119416287,-0.29890942,-0.119416287,0.129530947,0,-0.108600832,0,0.102613276,0,-0.138702509,0,-0.439736404,-0.084140632,0.806089824,-0.084140632,0.396740821,0.459391999,0.373073346,0.175228514,0.192017351,0.398266286,0.396740822,0.36757402,0.673622545,0.334224599,0,0.498452012,0,0.409221902,0,0.496453901,0,0,0,0.062043796,0,0,0,0.062043796,0,0,0,0.176470588,0,0.436170213,0,0,0,0,0,4,0,2,1,2019,0,0,0
1/3/2019,42189,9656.08,1218.42,562.2,283.91,7875.46,12188.18847,14928.36298,55732.36298,9.5,0,4.5,0,7,0,11,0,0,0,54.8,0,0,0,54.8,0,0,0,14,0,54,0,0.469548586,0.914966851,0.578865523,-0.070257952,0.447416788,0.984889979,0.469548586,0.16717524,0.65919164,-0.600865479,-0.119416287,-0.346077551,-0.119416287,-0.498643931,-0.119416287,0.535730262,-0.119416287,-0.29890942,-0.119416287,9.025479747,0,-0.108600832,0,8.83305524,0,-0.138702509,0,0.269199354,-0.084140632,1.409443877,-0.084140632,0.410207296,0.499209523,0.380311761,0.152036346,0.183808106,0.44535842,0.410207296,0.351557915,0.674719606,0.441176471,0,0.563467492,0,0.495677233,0,0.390070922,0,0,0,1,0,0,0,1,0,0,0,0.411764706,0,0.574468085,0,0,0,0,0,5,0,3,1,2019,0,0,0
1/4/2019,44384,8795.96,1269.42,578.67,277.13,6947.87,12822.31286,20334.18422,76066.5472,10.4,0,6.1,0,8.3,0,9.7,0,0,0,9.6,0,0,0,9.6,0,0,0,15,0,45,0,0.563726762,0.607601332,0.685042476,-0.012910682,0.397528536,0.588121987,0.563726763,0.471094407,0.664612897,-0.472202808,-0.119416287,-0.07901334,-0.119416287,-0.293569475,-0.119416287,0.318203338,-0.119416287,-0.29890942,-0.119416287,1.202583137,0,-0.108600832,0,1.155701606,0,-0.138702509,0,0.357816323,-0.084140632,0.991737225,-0.084140632,0.431549471,0.454742193,0.396230655,0.156490346,0.17941862,0.39290307,0.431549471,0.409373029,0.676213933,0.465240642,0,0.613003096,0,0.53314121,0,0.343971631,0,0,0,0.175182482,0,0,0,0.175182482,0,0,0,0.441176471,0,0.478723404,0,0,0,0,0,6,0,4,1,2019,0,0,0
1/5/2019,11,4354.98,575,305.32,132.69,3474.66,3.177844301,-12016.41745,64050.12975,8.7,0,5.3,0,7,0,11,0,0,0,3.2,0,0,0,3.2,0,0,0,10,0,33,0,-1.340131193,-0.979391326,-0.760671245,-0.964694299,-0.665282533,-0.897511275,-1.340131193,-1.347679744,0.661409224,-0.715232299,-0.119416287,-0.212545446,-0.119416287,-0.498643931,-0.119416287,0.535730262,-0.119416287,-0.29890942,-0.119416287,0.09491636,0,-0.108600832,0,0.068642684,0,-0.138702509,0,-0.085268525,-0.084140632,0.434795022,-0.084140632,0.000106954,0.22514804,0.179477735,0.082568013,0.085905736,0.196492534,0.000106954,0.063384204,0.675330866,0.419786096,0,0.588235294,0,0.495677233,0,0.390070922,0,0,0,0.058394161,0,0,0,0.058394161,0,0,0,0.294117647,0,0.35106383,0,0,0,0,0,7,0,5,1,2019,0,0,1
1/6/2019,346,6250.94,676.13,472.46,253.29,5102.35,99.957648,-17315.61105,46734.5187,7.9,0,3.3,0,5.6,0,12.4,0,0,0,6.8,0,0,0,6.8,0,0,0,24,0,59,0,-1.325757758,-0.301866411,-0.550128593,-0.38272571,0.222110259,-0.201282022,-1.325757758,-1.645604228,0.656792743,-0.829599118,-0.119416287,-0.546375709,-0.119416287,-0.719493344,-0.119416287,0.769990027,-0.119416287,-0.29890942,-0.119416287,0.717978922,0,-0.108600832,0,0.680113328,0,-0.138702509,0,1.155369051,-0.084140632,1.641503128,-0.084140632,0.003364188,0.323167245,0.211043967,0.127767862,0.163984203,0.288538642,0.003364188,0.00670947,0.674058369,0.398395722,0,0.526315789,0,0.455331412,0,0.439716312,0,0,0,0.124087591,0,0,0,0.124087591,0,0,0,0.705882353,0,0.627659574,0,0,0,0,0,1,1,6,1,2019,0,0,1
1/7/2019,74434,9672.86,882.37,572.65,309.19,8217.84,21503.6057,45988.22625,92722.74495,5.8,0,0.5,0,3.2,0,14.8,0,0,0,0,0,0,0,0,0,0,0,28,0,54,0,1.853045302,0.920963216,-0.120757322,-0.033871858,0.633430799,1.131339839,1.853045302,1.913383147,0.669053573,-1.129812018,-0.119416287,-1.013738078,-0.119416287,-1.098092339,-0.119416287,1.171578196,-0.119416287,-0.29890942,-0.119416287,-0.458917028,0,-0.108600832,0,-0.474886777,0,-0.138702509,0,1.509836929,-0.084140632,1.409443877,-0.084140632,0.72372822,0.500077031,0.275418729,0.154862351,0.200174803,0.46472006,0.72372822,0.683742326,0.677437971,0.342245989,0,0.439628483,0,0.386167147,0,0.524822695,0,0,0,0,0,0,0,0,0,0,0,0.823529412,0,0.574468085,0,0,0,0,0,2,1,7,1,2019,0,0,0
1/8/2019,67020,10299.9,872.42,603.2,311.67,8824.28,19361.73864,36475.05481,129197.7998,5.5,0,-1,0,2.3,0,15.7,0,0,0,2.4,0,0,0,2.4,0,0,0,0,0,0,0,1.534941886,1.145037154,-0.141472237,0.072500886,0.651679009,1.390738906,1.534941886,1.37854579,0.678778115,-1.172699575,-0.119416287,-1.264110775,-0.119416287,-1.240066962,-0.119416287,1.322173759,-0.119416287,-0.29890942,-0.119416287,-0.043541987,0,-0.108600832,0,-0.067239681,0,-0.138702509,0,-0.971438222,-0.084140632,-1.096796035,-0.084140632,0.651641257,0.532494362,0.272312984,0.16312402,0.201780396,0.499014331,0.651641257,0.581999211,0.680118465,0.334224599,0,0.393188854,0,0.360230548,0,0.556737589,0,0,0,0.04379562,0,0,0,0.04379562,0,0,0,0,0,0,0,0,0,0,0,3,1,8,1,2019,0,0,0
1/9/2019,55422,9219.45,792.71,524.17,268.09,7902.57,16011.13517,28067.52263,157265.3224,10.5,0,3.8,0,7.2,0,10.8,0,0,0,6.8,0,0,0,6.8,0,0,0,15,0,54,0,1.037320707,0.758936289,-0.30742057,-0.202675479,0.331010867,0.996486029,1.037320708,0.905868269,0.686261142,-0.457906956,-0.119416287,-0.462918143,-0.119416287,-0.467094014,-0.119416287,0.502264582,-0.119416287,-0.29890942,-0.119416287,0.717978922,0,-0.108600832,0,0.680113328,0,-0.138702509,0,0.357816323,-0.084140632,1.409443877,-0.084140632,0.5388729,0.476636195,0.247432688,0.141751852,0.173565972,0.446891495,0.5388729,0.492080878,0.682181103,0.467914439,0,0.541795666,0,0.501440922,0,0.382978723,0,0,0,0.124087591,0,0,0,0.124087591,0,0,0,0.441176471,0,0.574468085,0,0,0,0,0,4,1,9,1,2019,0,0,0
1/10/2019,46347,9284.95,819.13,529.26,277.1,7936.56,13389.41362,18874.8674,176140.1898,11.1,0,8.2,0,9.7,0,8.3,0,0,0,3.6,0,0,0,3.6,0,0,0,15,0,45,0,0.647950799,0.782342839,-0.252416744,-0.184952491,0.397307792,1.011024936,0.647950799,0.389050564,0.691293333,-0.372131841,-0.119416287,0.271508436,-0.119416287,-0.072720062,-0.119416287,0.083943573,-0.119416287,-0.29890942,-0.119416287,0.164145534,0,-0.108600832,0,0.136583867,0,-0.138702509,0,0.357816323,-0.084140632,0.991737225,-0.084140632,0.45063589,0.480022479,0.2556793,0.143128347,0.179399197,0.448813634,0.45063589,0.393765674,0.683568187,0.483957219,0,0.678018576,0,0.573487032,0,0.294326241,0,0,0,0.065693431,0,0,0,0.065693431,0,0,0,0.441176471,0,0.478723404,0,0,0,0,0,5,1,10,1,2019,0,0,0
1/11/2019,43562,7285.6,780.15,486.71,164.43,6018.74,12584.84122,22728.33613,198868.5259,10.2,0,3.5,0,6.9,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528458215,0.06787131,-0.333569247,-0.333108309,-0.431734878,0.190695274,0.528458215,0.605695354,0.69735289,-0.500794513,-0.119416287,-0.512992683,-0.119416287,-0.514418889,-0.119416287,0.552463103,-0.119416287,-0.29890942,-0.119416287,-0.458917028,0,-0.108600832,0,-0.474886777,0,-0.138702509,0,-0.971438222,-0.084140632,-1.096796035,-0.084140632,0.423557094,0.376658116,0.24351227,0.131621505,0.106454746,0.340360632,0.423557094,0.43497842,0.685238457,0.459893048,0,0.53250774,0,0.492795389,0,0.393617021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,11,1,2019,0,0,0
