Date,Workload sum,Scheduled Hours,Planned Absences,Unplanned Absences,Unpaid Absences,Actual Work Hours,EWH by Load,Daily remain,Rough esteam of merged workload,Max Temp(C),Max Temp Flag,Min Temp(C),Min Temp Flag,Mean Temp(C),Mean Temp Flag,Heat Deg Days(C),Heat Deg Days Flag,Cool Deg Days(C),Cool Deg Days Flag,Total Rain(mm),Total Rain Flag,Total Snow(cm),Total Snow Flag,Total Precip(mm),Total Precip Flag,Snow on Grnd(cm),Snow on Grnd Flag,Dir of Max Gust(10s deg),Dir of Max Gust Flag,Spd of Max Gust(km/h),Spd of Max Gust Flag,Workload sum_ST,Scheduled Hours_ST,Planned Absences_ST,Unplanned Absences_ST,Unpaid Absences_ST,Actual Work Hours_ST,EWH by Load_ST,Daily remain_ST,Rough esteam of merged workload_ST,Max Temp(C)_ST,Max Temp Flag_ST,Min Temp(C)_ST,Min Temp Flag_ST,Mean Temp(C)_ST,Mean Temp Flag_ST,Heat Deg Days(C)_ST,Heat Deg Days Flag_ST,Cool Deg Days(C)_ST,Cool Deg Days Flag_ST,Total Rain(mm)_ST,Total Rain Flag_ST,Total Snow(cm)_ST,Total Snow Flag_ST,Total Precip(mm)_ST,Total Precip Flag_ST,Snow on Grnd(cm)_ST,Snow on Grnd Flag_ST,Dir of Max Gust(10s deg)_ST,Dir of Max Gust Flag_ST,Spd of Max Gust(km/h)_ST,Spd of Max Gust Flag_ST,Workload sum_NT,Scheduled Hours_NT,Planned Absences_NT,Unplanned Absences_NT,Unpaid Absences_NT,Actual Work Hours_NT,EWH by Load_NT,Daily remain_NT,Rough esteam of merged workload_NT,Max Temp(C)_NT,Max Temp Flag_NT,Min Temp(C)_NT,Min Temp Flag_NT,Mean Temp(C)_NT,Mean Temp Flag_NT,Heat Deg Days(C)_NT,Heat Deg Days Flag_NT,Cool Deg Days(C)_NT,Cool Deg Days Flag_NT,Total Rain(mm)_NT,Total Rain Flag_NT,Total Snow(cm)_NT,Total Snow Flag_NT,Total Precip(mm)_NT,Total Precip Flag_NT,Snow on Grnd(cm)_NT,Snow on Grnd Flag_NT,Dir of Max Gust(10s deg)_NT,Dir of Max Gust Flag_NT,Spd of Max Gust(km/h)_NT,Spd of Max Gust Flag_NT
1/2/2019,269188,57916.62,6688.99,3742.46,1864.47,47485.17,77767.05015,104819.6986,505308.1034,53.3,0,21.1,0,37.4,0,88.6,0,0,0,80.2,0,0,0,80.2,0,0,0,97,0,286,0,1.205913538,1.144736551,0.193634171,-0.674930279,0.314968491,1.49573037,1.205913538,0.966519529,0.650094078,-0.087025989,-0.195675655,-0.185215316,-0.195675655,-0.124564448,-0.195675655,1.362264533,-0.195675655,-0.278395064,-0.195675655,3.684551776,0,-0.170776499,0,3.516027089,0,-0.158000681,0,1.073046179,-0.142766122,1.868546694,-0.142766122,0.627843732,0.818696786,0.513922119,0.147556161,0.470891643,0.707861095,0.627843732,0.666288351,0.678674946,0.279643232,0,0.423756906,0,0.348623853,0,0.578328982,0,0,0,0.842436975,0,0,0,0.775628627,0,0,0,0.567251462,0,0.798882682,0
1/9/2019,263264,56299.57,5423.98,3751.15,1581.19,47124.44,76055.63655,100144.3532,1335756.346,62,0,12.2,0,37.4,0,88.6,0,0,0,10.4,0,0,0,10.4,0,0,0,30,0,99,0,1.153391238,0.901534882,-0.346427912,-0.671767491,-0.094742325,1.435861176,1.153391239,0.923409189,0.681421135,0.061288515,-0.195675655,-0.423534113,-0.195675655,-0.124564448,-0.195675655,1.362264533,-0.195675655,-0.278395064,-0.195675655,-0.048210287,0,-0.170776499,0,-0.078085936,0,-0.158000681,0,-0.356909355,-0.142766122,-0.017375154,-0.142766122,0.614026822,0.780318998,0.409482695,0.148187659,0.393989657,0.699071259,0.614026822,0.654940506,0.687442043,0.325288562,0,0.374585635,0,0.348623853,0,0.578328982,0,0,0,0.109243697,0,0,0,0.100580271,0,0,0,0.175438596,0,0.276536313,0
1/16/2019,259153,58762.19,5453.7,3923.32,1945.39,49385.17,74867.98944,88207.91314,1924947.773,57,0,13.1,0,35.1,0,90.9,0,0,0,41.6,0,0,0,41.6,0,0,0,79,0,242,0,1.116943032,1.271908893,-0.333739756,-0.60910498,0.432003931,1.811067234,1.116943032,0.813345879,0.703647244,-0.023949705,-0.195675655,-0.399434459,-0.195675655,-0.173058823,-0.195675655,1.418859285,-0.195675655,-0.278395064,-0.195675655,1.620302268,0,-0.170776499,0,1.528451691,0,-0.158000681,0,0.68887902,-0.142766122,1.424800377,-0.142766122,0.604438484,0.838764876,0.411936382,0.160699168,0.492858985,0.754158011,0.604438484,0.625968769,0.693662176,0.299055614,0,0.379558011,0,0.336211549,0,0.593342037,0,0,0,0.43697479,0,0,0,0.402321083,0,0,0,0.461988304,0,0.675977654,0
1/23/2019,229412,58554.79,6528.56,3559.99,1966.04,48466.24,66275.96516,61647.75809,2449822.918,51.9,0,13.4,0,32.9,0,93.1,0,0,0,7,0,0,0,7,0,0,0,30,0,42,0,0.853258746,1.240716273,0.125142887,-0.741341548,0.461870241,1.658555389,0.853258746,0.568440481,0.723447146,-0.11089269,-0.195675655,-0.391401241,-0.195675655,-0.219444748,-0.195675655,1.472993396,-0.195675655,-0.278395064,-0.195675655,-0.230035373,0,-0.170776499,0,-0.253157345,0,-0.158000681,0,-0.356909355,-0.142766122,-0.592228337,-0.142766122,0.53507172,0.833842608,0.500676993,0.134296156,0.498464838,0.731766629,0.53507172,0.561502828,0.699203318,0.272298006,0,0.38121547,0,0.32433891,0,0.60770235,0,0,0,0.073529412,0,0,0,0.067698259,0,0,0,0.175438596,0,0.117318436,0
1/30/2019,199119,58373.67,7834.6,3995.13,2179.59,46543.94,57524.47085,38008.73418,2807431.109,36,0,-7.7,0,14.1,0,111.9,0,0,0,22.6,0,1.6,0,23.4,0,1,0,80,0,163,0,0.584680416,1.213476122,0.682721628,-0.582969214,0.770729831,1.339517466,0.584680416,0.350470197,0.736937225,-0.381950232,-0.195675655,-0.956404233,-0.195675655,-0.615833554,-0.195675655,1.93559398,-0.195675655,-0.278395064,-0.195675655,0.604220905,0,0.254125775,0,0.591304742,0,-0.010496549,0,0.71022164,-0.142766122,0.628074035,-0.142766122,0.464417493,0.829544049,0.608503861,0.165917565,0.556437229,0.684926333,0.464417493,0.504126961,0.702978612,0.18887723,0,0.264640884,0,0.222881813,0,0.730417755,0,0,0,0.237394958,0,0.047337278,0,0.226305609,0,0.015384615,0,0.467836257,0,0.455307263,0
2/6/2019,209057,58079.02,9291.88,4599.48,2987.63,44187.66,60395.50873,56102.9173,3165221.915,5.3,0,-40,0,-17.7,0,143.7,0,0,0,0,0,23.2,0,17.4,0,26,0,19,0,135,0,0.672790918,1.169161245,1.30486823,-0.363011683,1.939406504,0.948453283,0.672790918,0.517312714,0.750434193,-0.905312906,-0.195675655,-1.821314025,-0.195675655,-1.286321004,-0.195675655,2.718077946,-0.195675655,-0.278395064,-0.195675655,-0.604381138,0,5.990306468,0,0.282355198,0,3.677106757,0,-0.591678174,-0.142766122,0.345690015,-0.142766122,0.487596501,0.822551059,0.728817128,0.209835382,0.775795746,0.627511334,0.487596501,0.548044571,0.706755833,0.027806925,0,0.086187845,0,0.051268214,0,0.937989556,0,0,0,0,0,0.686390533,0,0.16827853,0,0.4,0,0.111111111,0,0.377094972,0
2/13/2019,224592,58071.77,8459.66,3917.74,2692.19,45694.37,64883.49156,66422.49186,3538947.282,25.6,0,-14.4,0,5.6,0,120.4,0,0,0,15.6,0,6.4,0,27.4,0,50,0,37,0,65,0,0.810524531,1.168070857,0.949574227,-0.611135862,1.512108553,1.198517076,0.810524531,0.61246726,0.764532261,-0.559245731,-0.195675655,-1.135812765,-0.195675655,-0.795051898,-0.195675655,2.144748499,-0.195675655,-0.278395064,-0.195675655,0.229875139,0,1.528832595,0,0.797271104,0,7.217205931,0,-0.207511016,-0.142766122,-0.360270035,-0.142766122,0.523829738,0.822378993,0.660108913,0.160293672,0.695592687,0.664225032,0.523829738,0.573091906,0.710701277,0.134312697,0,0.227624309,0,0.177010254,0,0.785900783,0,0,0,0.163865546,0,0.189349112,0,0.264990329,0,0.769230769,0,0.216374269,0,0.181564246,0
2/20/2019,222224,57907.49,7854.69,3731.93,2209.29,46320.87,64199.38836,61885.88341,3995882.177,43,0,-14.6,0,14.4,0,111.6,0,0,0,6.8,0,1,0,8.4,0,0,0,107,0,218,0,0.789529797,1.143363414,0.691298514,-0.678762748,0.813685251,1.302495258,0.789529798,0.570636183,0.781769248,-0.262616723,-0.195675655,-1.141168244,-0.195675655,-0.609508201,-0.195675655,1.928212055,-0.195675655,-0.278395064,-0.195675655,-0.240730966,0,0.094787422,0,-0.181069118,0,-0.158000681,0,1.286472378,-0.142766122,1.182756931,-0.142766122,0.518306706,0.818480101,0.610162495,0.146790951,0.564499885,0.679490831,0.518306706,0.562080798,0.715525169,0.225603358,0,0.226519337,0,0.224500809,0,0.72845953,0,0,0,0.071428571,0,0.029585799,0,0.081237911,0,0,0,0.625730994,0,0.608938547,0
2/27/2019,219551,57919.06,8517.14,3636.27,2306.61,45765.65,63427.17218,61134.75856,4425443.703,44.9,0,-23.8,0,10.8,0,115.2,0,0,0,0,0,0,0,0,0,0,0,59,0,119,0,0.765830927,1.145103523,0.974113771,-0.713578893,0.954440181,1.210347188,0.765830927,0.563710224,0.797973627,-0.230226199,-0.195675655,-1.387520259,-0.195675655,-0.685412441,-0.195675655,2.016795146,-0.195675655,-0.278395064,-0.195675655,-0.604381138,0,-0.170776499,0,-0.613598479,0,-0.158000681,0,0.262026622,-0.142766122,0.184327718,-0.142766122,0.512072303,0.818754695,0.664854471,0.139839386,0.590919333,0.665961898,0.512072303,0.560257692,0.720060079,0.235571878,0,0.175690608,0,0.205072855,0,0.751958225,0,0,0,0,0,0,0,0,0,0,0,0.34502924,0,0.332402235,0
3/6/2019,220742,57574.86,8873.32,3614.21,2415.78,45087.33,63771.24606,64673.74016,4873042.383,46.2,0,-8.7,0,18.9,0,107.1,0,0,0,19.4,0,0,0,19.4,0,0,0,63,0,121,0,0.776390356,1.093336407,1.126175267,-0.721607789,1.11233389,1.097768608,0.776390356,0.596342402,0.814858424,-0.208064262,-0.195675655,-0.983181625,-0.195675655,-0.514627902,-0.195675655,1.817483192,-0.195675655,-0.278395064,-0.195675655,0.433091412,0,-0.170776499,0,0.385338379,0,-0.158000681,0,0.347397102,-0.142766122,0.204498005,-0.142766122,0.514850146,0.810585724,0.694260748,0.138236297,0.620555699,0.649433411,0.514850146,0.568847393,0.724785408,0.242392445,0,0.259116022,0,0.248785753,0,0.699086162,0,0,0,0.203781513,0,0,0,0.18762089,0,0,0,0.368421053,0,0.337988827,0
