Date,Workload sum,Scheduled Hours,Planned Absences,Unplanned Absences,Unpaid Absences,Actual Work Hours,EWH by Load,Daily remain,Rough esteam of merged workload,Max Temp(C),Max Temp Flag,Min Temp(C),Min Temp Flag,Mean Temp(C),Mean Temp Flag,Heat Deg Days(C),Heat Deg Days Flag,Cool Deg Days(C),Cool Deg Days Flag,Total Rain(mm),Total Rain Flag,Total Snow(cm),Total Snow Flag,Total Precip(mm),Total Precip Flag,Snow on Grnd(cm),Snow on Grnd Flag,Dir of Max Gust(10s deg),Dir of Max Gust Flag,Spd of Max Gust(km/h),Spd of Max Gust Flag,Workload sum_ST,Scheduled Hours_ST,Planned Absences_ST,Unplanned Absences_ST,Unpaid Absences_ST,Actual Work Hours_ST,EWH by Load_ST,Daily remain_ST,Rough esteam of merged workload_ST,Max Temp(C)_ST,Max Temp Flag_ST,Min Temp(C)_ST,Min Temp Flag_ST,Mean Temp(C)_ST,Mean Temp Flag_ST,Heat Deg Days(C)_ST,Heat Deg Days Flag_ST,Cool Deg Days(C)_ST,Cool Deg Days Flag_ST,Total Rain(mm)_ST,Total Rain Flag_ST,Total Snow(cm)_ST,Total Snow Flag_ST,Total Precip(mm)_ST,Total Precip Flag_ST,Snow on Grnd(cm)_ST,Snow on Grnd Flag_ST,Dir of Max Gust(10s deg)_ST,Dir of Max Gust Flag_ST,Spd of Max Gust(km/h)_ST,Spd of Max Gust Flag_ST,Workload sum_NT,Scheduled Hours_NT,Planned Absences_NT,Unplanned Absences_NT,Unpaid Absences_NT,Actual Work Hours_NT,EWH by Load_NT,Daily remain_NT,Rough esteam of merged workload_NT,Max Temp(C)_NT,Max Temp Flag_NT,Min Temp(C)_NT,Min Temp Flag_NT,Mean Temp(C)_NT,Mean Temp Flag_NT,Heat Deg Days(C)_NT,Heat Deg Days Flag_NT,Cool Deg Days(C)_NT,Cool Deg Days Flag_NT,Total Rain(mm)_NT,Total Rain Flag_NT,Total Snow(cm)_NT,Total Snow Flag_NT,Total Precip(mm)_NT,Total Precip Flag_NT,Snow on Grnd(cm)_NT,Snow on Grnd Flag_NT,Dir of Max Gust(10s deg)_NT,Dir of Max Gust Flag_NT,Spd of Max Gust(km/h)_NT,Spd of Max Gust Flag_NT
1/2/2019,40804,8885.9,1195.23,647.96,296.59,7042.71,11788.06899,16425.89879,40804.0,5.5,0,2.4,0,4.0,0,14.0,0,0.0,0,3.4,0,0.0,0,3.4,0,0,0,6,0,41,0,0.4101240877291309,0.6397415618261704,0.5305862379476926,0.22835175324071744,0.5407181194010676,0.6286889146484155,0.41012408835650055,0.25136778260165993,0.655211618942095,-1.1726995750824694,-0.11941628680530642,-0.696599327568466,-0.11941628680530642,-0.9718926737213435,-0.11941628680530642,1.0377154730008362,-0.11941628680530642,-0.29890942027884293,-0.11941628680530642,0.12953094707036536,0.0,-0.10860083211722098,0.0,0.10261327557130141,0.0,-0.1387025092750471,0.0,-0.4397364041923851,-0.08414063238233424,0.8060898241383633,-0.08414063238233424,0.3967408214063472,0.45939199927207824,0.3730733455274149,0.17522851425171723,0.192017350770426,0.3982662855940763,0.39674082156402524,0.3675740202502795,0.6736225446343758,0.3342245989304813,0.0,0.49845201238390097,0.0,0.40922190201729103,0.0,0.4964539007092199,0.0,0.0,0.0,0.062043795620437964,0.0,0.0,0.0,0.062043795620437964,0.0,0.0,0.0,0.1764705882352941,0.0,0.4361702127659574,0.0
1/3/2019,42189,9656.08,1218.42,562.2,283.91,7875.46,12188.18847,14928.36298,55732.36298,9.5,0,4.5,0,7.0,0,11.0,0,0.0,0,54.8,0,0.0,0,54.8,0,0,0,14,0,54,0,0.4695485861342812,0.9149668511190344,0.5788655231131541,-0.07025795205109062,0.44741678765951265,0.9848899791098918,0.46954858573029434,0.16717523962970954,0.6591916403128261,-0.6008654794889138,-0.11941628680530642,-0.34607755109127575,-0.11941628680530642,-0.4986439305554566,-0.11941628680530642,0.5357302622569674,-0.11941628680530642,-0.29890942027884293,-0.11941628680530642,9.02547974732432,0.0,-0.10860083211722098,0.0,8.833055240149111,0.0,-0.1387025092750471,0.0,0.2691993535139145,-0.08414063238233424,1.4094438771767113,-0.08414063238233424,0.410207296204107,0.4992095225392059,0.380311760629764,0.15203634593542106,0.18380810565842293,0.4453584204865349,0.4102072961285731,0.3515579145794469,0.674719606436508,0.4411764705882353,0.0,0.563467492260062,0.0,0.4956772334293948,0.0,0.3900709219858156,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4117647058823529,0.0,0.5744680851063829,0.0
1/4/2019,44384,8795.96,1269.42,578.67,277.13,6947.87,12822.31286,20334.18422,76066.5472,10.4,0,6.1,0,8.3,0,9.7,0,0.0,0,9.6,0,0.0,0,9.6,0,0,0,15,0,45,0,0.5637267623070645,0.6076013315955745,0.6850424762584121,-0.012910682389756043,0.397528536144706,0.5881219870548682,0.5637267625794038,0.4710944073772789,0.6646128970079108,-0.4722028079803637,-0.11941628680530642,-0.0790133404419879,-0.11941628680530642,-0.2935694751835722,-0.11941628680530642,0.3182033376012907,-0.11941628680530642,-0.29890942027884293,-0.11941628680530642,1.2025831369842668,0.0,-0.10860083211722098,0.0,1.155701605928936,0.0,-0.1387025092750471,0.0,0.35781632322720197,-0.08414063238233424,0.9917372250732396,-0.08414063238233424,0.4315494710640946,0.4547421926779763,0.3962306554214762,0.15649034561090377,0.1794186197073676,0.39290306965507804,0.43154947114263253,0.4093730290089786,0.6762139334980329,0.4652406417112299,0.0,0.6130030959752322,0.0,0.5331412103746398,0.0,0.34397163120567376,0.0,0.0,0.0,0.17518248175182483,0.0,0.0,0.0,0.17518248175182483,0.0,0.0,0.0,0.4411764705882353,0.0,0.4787234042553191,0.0
1/5/2019,11,4354.98,575.0,305.32,132.69,3474.66,3.177844301,-12016.41745,64050.12975,8.7,0,5.3,0,7.0,0,11.0,0,0.0,0,3.2,0,0.0,0,3.2,0,0,0,10,0,33,0,-1.3401311927338986,-0.9793913262815747,-0.7606712453715888,-0.9646942987786987,-0.665282532999636,-0.8975112751465664,-1.3401311927361292,-1.34767974351927,0.66140922368387,-0.7152322986076249,-0.11941628680530642,-0.2125454457666318,-0.11941628680530642,-0.4986439305554566,-0.11941628680530642,0.5357302622569674,-0.11941628680530642,-0.29890942027884293,-0.11941628680530642,0.09491636029894925,0.0,-0.10860083211722098,0.0,0.06864268426944227,0.0,-0.1387025092750471,0.0,-0.08526852533923529,-0.08414063238233424,0.4347950222686107,-0.08414063238233424,0.0001069539514623522,0.22514804003982886,0.17947773539675504,0.08256801341338092,0.0859057361129095,0.19649253368409506,0.00010695395147846819,0.06338420429984917,0.6753308659707675,0.4197860962566845,0.0,0.5882352941176471,0.0,0.4956772334293948,0.0,0.3900709219858156,0.0,0.0,0.0,0.05839416058394162,0.0,0.0,0.0,0.05839416058394162,0.0,0.0,0.0,0.29411764705882354,0.0,0.35106382978723405,0.0
1/6/2019,346,6250.94,676.13,472.46,253.29,5102.35,99.957648,-17315.61105,46734.5187,7.9,0,3.3,0,5.6,0,12.4,0,0.0,0,6.8,0,0.0,0,6.8,0,0,0,24,0,59,0,-1.3257577581016058,-0.3018664106934027,-0.5501285929876685,-0.3827257103636708,0.22211025943187632,-0.2012820219333562,-1.325757758104185,-1.6456042284667682,0.6567927428199872,-0.829599117726336,-0.11941628680530642,-0.5463757090782416,-0.11941628680530642,-0.7194933440328705,-0.11941628680530642,0.7699900272707729,-0.11941628680530642,-0.29890942027884293,-0.11941628680530642,0.7179789221844403,0.0,-0.10860083211722098,0.0,0.6801133277029076,0.0,-0.1387025092750471,0.0,1.155369050646789,-0.08414063238233424,1.6415031283453068,-0.08414063238233424,0.0033641879278158058,0.32316724517829426,0.21104396736314435,0.12776786197198334,0.16398420302991068,0.28853864241193167,0.0033641879278760185,0.006709469645056587,0.6740583690808551,0.39839572192513373,0.0,0.5263157894736842,0.0,0.4553314121037464,0.0,0.4397163120567376,0.0,0.0,0.0,0.12408759124087593,0.0,0.0,0.0,0.12408759124087593,0.0,0.0,0.0,0.7058823529411764,0.0,0.6276595744680851,0.0
1/7/2019,74434,9672.86,882.37,572.65,309.19,8217.84,21503.6057,45988.22625,92722.74495,5.8,0,0.5,0,3.2,0,14.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,28,0,54,0,1.853045301711228,0.9209632160653255,-0.1207573220724135,-0.03387185806439083,0.6334307992073452,1.1313398385518858,1.8530453020609496,1.913383147046881,0.6690535729942153,-1.1298120179129527,-0.11941628680530642,-1.0137380777144953,-0.11941628680530642,-1.0980923385655799,-0.11941628680530642,1.1715781958658682,-0.11941628680530642,-0.29890942027884293,-0.11941628680530642,-0.45891702804370954,0.0,-0.10860083211722098,0.0,-0.4748867765603047,0.0,-0.1387025092750471,0.0,1.5098369294999388,-0.08414063238233424,1.4094438771767113,-0.08414063238233424,0.7237282202862476,0.500077031485715,0.27541872936006045,0.1548623505868354,0.2001748025378739,0.46472005980743547,0.7237282203933604,0.6837423264192765,0.6774379711466865,0.3422459893048128,0.0,0.43962848297213625,0.0,0.3861671469740634,0.0,0.5248226950354611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.0,0.5744680851063829,0.0
1/8/2019,67020,10299.9,872.42,603.2,311.67,8824.28,19361.73864,36475.05481,129197.7998,5.5,0,-1.0,0,2.3,0,15.7,0,0.0,0,2.4,0,0.0,0,2.4,0,0,0,0,0,0,0,1.5349418856998314,1.1450371538437631,-0.14147223744094922,0.07250088560007696,0.6516790092009619,1.3907389061376172,1.5349418858464088,1.3785457896272069,0.6787781153299073,-1.1726995750824694,-0.11941628680530642,-1.2641107751982028,-0.11941628680530642,-1.240066961515346,-0.11941628680530642,1.3221737590890286,-0.11941628680530642,-0.29890942027884293,-0.11941628680530642,-0.043541986786715496,0.0,-0.10860083211722098,0.0,-0.06723968093799453,0.0,-0.1387025092750471,0.0,-0.9714382224721098,-0.08414063238233424,-1.0967960354441186,-0.08414063238233424,0.6516412570006223,0.5324943622258274,0.2723129841997166,0.1631240196873817,0.2017803962190859,0.49901433093824615,0.6516412570589759,0.5819992108087143,0.6801184652812559,0.3342245989304813,0.0,0.3931888544891641,0.0,0.36023054755043227,0.0,0.5567375886524822,0.0,0.0,0.0,0.043795620437956206,0.0,0.0,0.0,0.043795620437956206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/9/2019,55422,9219.45,792.71,524.17,268.09,7902.57,16011.13517,28067.52263,157265.3224,10.5,0,3.8,0,7.2,0,10.8,0,0.0,0,6.8,0,0.0,0,6.8,0,0,0,15,0,54,0,1.0373207069973525,0.7589362893491326,-0.30742056950386104,-0.2026754787797227,0.3310108674582973,0.9964860293741374,1.0373207075332718,0.9058682685783407,0.6862611420972183,-0.45790695559052486,-0.11941628680530642,-0.4629181432503392,-0.11941628680530642,-0.46709401434439746,-0.11941628680530642,0.5022645815407095,-0.11941628680530642,-0.29890942027884293,-0.11941628680530642,0.7179789221844403,0.0,-0.10860083211722098,0.0,0.6801133277029076,0.0,-0.1387025092750471,0.0,0.35781632322720197,-0.08414063238233424,1.4094438771767113,-0.08414063238233424,0.5388728998133168,0.4766361952856731,0.24743268804584645,0.14175185245280977,0.17356597177262723,0.44689149497099545,0.5388728999556406,0.49208087768664643,0.6821811031583087,0.4679144385026738,0.0,0.541795665634675,0.0,0.5014409221902018,0.0,0.3829787234042554,0.0,0.0,0.0,0.12408759124087593,0.0,0.0,0.0,0.12408759124087593,0.0,0.0,0.0,0.4411764705882353,0.0,0.5744680851063829,0.0
1/10/2019,46347,9284.95,819.13,529.26,277.1,7936.56,13389.41362,18874.8674,176140.1898,11.1,0,8.2,0,9.7,0,8.3,0,0.0,0,3.6,0,0.0,0,3.6,0,0,0,15,0,45,0,0.6479507986747974,0.782342839050089,-0.2524167439725334,-0.18495249137376057,0.39730779166897695,1.0110249356257686,0.6479507989179906,0.3890505635792865,0.6912933332170589,-0.37213184125149157,-0.11941628680530642,0.27150843603520236,-0.11941628680530642,-0.07272006170615854,-0.11941628680530642,0.08394357258748547,-0.11941628680530642,-0.29890942027884293,-0.11941628680530642,0.16414553384178157,0.0,-0.10860083211722098,0.0,0.13658386687316063,0.0,-0.1387025092750471,0.0,0.35781632322720197,-0.08414063238233424,0.9917372250732396,-0.08414063238233424,0.45063588985687614,0.4800224787181134,0.2556792998183373,0.1431283465844556,0.17939919720315942,0.448813634466636,0.4506358899295303,0.39376567442001326,0.6835681873330834,0.48395721925133683,0.0,0.6780185758513932,0.0,0.5734870317002881,0.0,0.2943262411347518,0.0,0.0,0.0,0.06569343065693431,0.0,0.0,0.0,0.06569343065693431,0.0,0.0,0.0,0.4411764705882353,0.0,0.4787234042553191,0.0
1/11/2019,43562,7285.6,780.15,486.71,164.43,6018.74,12584.84122,22728.33613,198868.5259,10.2,0,3.5,0,6.9,0,11.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.5284582152391702,0.06787131012478892,-0.33356924659218357,-0.3331083094727162,-0.4317348776781086,0.19069527432824956,0.5284582151756869,0.605695353957683,0.6973528900164446,-0.5007945127600416,-0.11941628680530642,-0.5129926827470807,-0.11941628680530642,-0.5144188886609861,-0.11941628680530642,0.5524631026150962,-0.11941628680530642,-0.29890942027884293,-0.11941628680530642,-0.45891702804370954,0.0,-0.10860083211722098,0.0,-0.4748867765603047,0.0,-0.1387025092750471,0.0,-0.9714382224721098,-0.08414063238233424,-1.0967960354441186,-0.08414063238233424,0.4235570939639079,0.3766581156547625,0.24351227003439732,0.13162150467845746,0.1064547455651949,0.3403606315972815,0.4235570939660415,0.434978420029702,0.6852384568324745,0.4598930481283422,0.0,0.5325077399380805,0.0,0.49279538904899134,0.0,0.39361702127659576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
